Helene Ratiney;F;2019;https://hal.science/tel-04943822/file/HDR_HRatiney_V01_02_2019_imprim.pdf;198
Laura Teodora Ghinea;F;2021;https://hal.science/tel-03542843/file/Le%20developpement%20local%20par%20la%20culture.pdf;223
Jian Xin Kong;H;1993;https://theses.hal.science/tel-00343556/file/Kong.Jian-Xin_1993_these.pdf;241
Nadine Lucas;F;2009;https://theses.hal.science/tel-01073406/file/HDR09NLrev.pdf;122
Mathieu Mangeot;H;2019;https://hal.science/tel-02420867/file/Memoire_HDR_Mangeot_combine.pdf;335
Vincent Lacroix;H;2023;https://hal.science/tel-04662714/file/hdr.pdf;55
Marie Candito;H;2022;https://hal.science/tel-03544267/file/candito_hdr.pdf;113
Huet Benoit;None;2012;https://theses.hal.science/tel-00744320/file/HDR_HuetB_03102012.pdf;142
Alexandre Vervisch-Picois;H;2022;https://hal.science/tel-03944910/file/HDR%20AVP%20-%20V3.pdf;88
Nicolas Vignais;H;2023;https://hal.science/tel-04104117/file/HDR_Vignais_N_2023.pdf;162
David Ilcinkas;H;2019;https://theses.hal.science/tel-03099722/file/HDR.pdf;51
Madalina Croitoru;F;2014;https://hal-lirmm.ccsd.cnrs.fr/tel-01110342/file/HDR_CROITORU.pdf;219
Pascal Omnes;H;2010;https://theses.hal.science/tel-00613239/file/habilitation_omnes.pdf;113
Patrice Bellot;H;2008;https://theses.hal.science/tel-00375051/file/HDR_Bellot.pdf;219
François Ribac;H;2020;https://hal.science/tel-03175708/file/Ribac_HDR-synthese.pdf;67
Matthieu Gautier;H;2019;https://theses.hal.science/tel-02136001/file/gautier19hdr.pdf;126
Céline Paganelli;F;2012;https://theses.hal.science/tel-00776667/file/memoireHDR-CelinePaganelli.pdf;178
Sergio Alberto Rodriguez Florez;H;2023;https://hal.science/tel-04052541/file/Sergio_Rodriguez_hdr_manuscript_short.pdf;133
Aurélie Laborde;F;2022;https://hal.science/tel-04112037/file/HDR%20Vol.%201.%20Parcours%20de%20recherche.pdf;61
Michel Lavigne;H;2020;https://theses.hal.science/tel-02915021/file/Lavigne_HDR_Instrumentalisations_Jeu_Numerique.pdf;340
Karol Desnos;F;2024;https://hal.science/tel-04753066/file/hdr_vFinale.pdf;123
Nicolas Ollinger;H;2008;https://theses.hal.science/tel-01084729/file/hdr.pdf;262
Sinan Haliyo;H;2019;https://hal.sorbonne-universite.fr/tel-03073919/file/SinanHaliyo_HDR.pdf;109
Christine Tasson;F;2018;https://theses.hal.science/tel-01953502/file/HDR_Tasson_2018.pdf;117
Pascal Giorgi;H;2019;https://hal-lirmm.ccsd.cnrs.fr/tel-02360023/file/hdr-giorgi-published.pdf;113
Paolo Frasca;H;2024;https://theses.hal.science/tel-04674170/file/HDR-Frasca-July2024.pdf;124
Florence Maraninchi;F;1997;https://hal.science/tel-03840029/file/Habilitation.pdf;190
